8.200195110985077432e-03,1.324770007729530263e+01,1.297835912555456161e-02,1.560557037591934204e-01,3.750000000000000078e-04
1.459706998080946561e-02,1.213370075702667172e+01,1.644227467477321625e-02,1.493716686964035034e-01,5.000000000000000104e-04
1.765458947862498518e-02,1.179609391093254089e+01,1.926500350236892700e-02,1.403244137763977051e-01,5.000000000000000104e-04
3.220834888052195172e-02,1.126547192811965914e+01,7.104492187500000000e-02,1.071201488375663757e-01,5.000000000000000104e-04
1.175969210546463778e-01,9.834691565036774108e+00,1.538475006818771362e-01,9.102099388837814331e-02,5.000000000000000104e-04
1.719969686679542198e-01,9.202892106771468406e+00,1.892504543066024780e-01,8.560032397508621216e-02,5.000000000000000104e-04
2.028403274342417684e-01,8.865619684457778149e+00,2.152118235826492310e-01,8.098562061786651611e-02,5.000000000000000104e-04
2.253954050503671203e-01,8.637407845258712413e+00,2.330525517463684082e-01,7.768449187278747559e-02,5.000000000000000104e-04
2.425318307988345579e-01,8.465221638679503613e+00,2.489961981773376465e-01,7.739510387182235718e-02,5.000000000000000104e-04
2.595750917308032313e-01,8.320528295636176352e+00,2.632856070995330811e-01,7.525141537189483643e-02,5.000000000000000104e-04
