0.000000000000000000e+00,5.353651458024978993e+00,2.485594479367136955e-03,3.831267058849334717e-01,3.750000000000000078e-04
0.000000000000000000e+00,4.503416403532027878e+00,3.532717702910304070e-03,3.994366824626922607e-01,5.000000000000000104e-04
0.000000000000000000e+00,3.330864498317241740e+00,3.586557460948824883e-03,4.169297814369201660e-01,5.000000000000000104e-04
0.000000000000000000e+00,2.976302759647369456e+00,3.168712835758924484e-03,4.199674725532531738e-01,5.000000000000000104e-04
0.000000000000000000e+00,2.840726716816425412e+00,3.258715150877833366e-03,4.244242608547210693e-01,5.000000000000000104e-04
0.000000000000000000e+00,2.765796756744384854e+00,3.296172479167580605e-03,4.257884621620178223e-01,5.000000000000000104e-04
0.000000000000000000e+00,2.675129076242447113e+00,3.028790233656764030e-03,4.273891150951385498e-01,2.500000000000000052e-04
0.000000000000000000e+00,2.650299869477748871e+00,3.088031662628054619e-03,4.295404553413391113e-01,2.500000000000000052e-04
0.000000000000000000e+00,2.628458848893642230e+00,3.045793389901518822e-03,4.301201999187469482e-01,2.500000000000000052e-04
0.000000000000000000e+00,2.588226009905338465e+00,3.109877929091453552e-03,4.314925968647003174e-01,1.250000000000000026e-04
0.000000000000000000e+00,2.573854991793632419e+00,3.100473899394273758e-03,4.320955276489257812e-01,1.250000000000000026e-04
0.000000000000000000e+00,2.564113070666790062e+00,3.244454041123390198e-03,4.331650435924530029e-01,1.250000000000000026e-04
0.000000000000000000e+00,2.541391311585903257e+00,3.172550350427627563e-03,4.355955123901367188e-01,6.250000000000000130e-05
0.000000000000000000e+00,2.531862787902355194e+00,3.234120085835456848e-03,4.361725747585296631e-01,6.250000000000000130e-05
0.000000000000000000e+00,2.525093983113765539e+00,3.123057074844837189e-03,4.359109699726104736e-01,6.250000000000000130e-05
0.000000000000000000e+00,2.516049514710902990e+00,3.126019611954689026e-03,4.376701414585113525e-01,3.125000000000000065e-05
0.000000000000000000e+00,2.507530467808246399e+00,3.124903421849012375e-03,4.376681149005889893e-01,3.125000000000000065e-05
0.000000000000000000e+00,2.506737603843212092e+00,3.176621394231915474e-03,4.382237195968627930e-01,3.125000000000000065e-05
0.000000000000000000e+00,2.502740120291710113e+00,3.206549212336540222e-03,4.386318325996398926e-01,1.562500000000000033e-05
0.000000000000000000e+00,2.496774562001228492e+00,3.129732795059680939e-03,4.382302463054656982e-01,1.562500000000000033e-05
0.000000000000000000e+00,2.495744110941886973e+00,3.160280175507068634e-03,4.384855628013610840e-01,1.562500000000000033e-05
0.000000000000000000e+00,2.490497702360153109e+00,3.195719327777624130e-03,4.384672343730926514e-01,7.812500000000000163e-06
0.000000000000000000e+00,2.495361550450324817e+00,3.141968278214335442e-03,4.388420283794403076e-01,7.812500000000000163e-06
0.000000000000000000e+00,2.490774154067039614e+00,3.157545113936066628e-03,4.388898313045501709e-01,7.812500000000000163e-06
0.000000000000000000e+00,2.487324045896530222e+00,3.212122945114970207e-03,4.387801289558410645e-01,3.906250000000000081e-06
0.000000000000000000e+00,2.490335587263107442e+00,3.199562896043062210e-03,4.390221536159515381e-01,3.906250000000000081e-06
0.000000000000000000e+00,2.486675381958484810e+00,3.096953500062227249e-03,4.388999342918395996e-01,3.906250000000000081e-06
0.000000000000000000e+00,2.490189715623855715e+00,3.210255410522222519e-03,4.390418827533721924e-01,1.953125000000000041e-06
0.000000000000000000e+00,2.484135709702968597e+00,3.145413240417838097e-03,4.390405118465423584e-01,1.953125000000000041e-06
0.000000000000000000e+00,2.483973662853240949e+00,3.167727962136268616e-03,4.390871822834014893e-01,1.953125000000000041e-06
0.000000000000000000e+00,2.490058788359165387e+00,3.142030443996191025e-03,4.388472139835357666e-01,9.765625000000000203e-07
0.000000000000000000e+00,2.480789114236831683e+00,3.151041455566883087e-03,4.390092492103576660e-01,9.765625000000000203e-07
0.000000000000000000e+00,2.488855302631855171e+00,3.189126029610633850e-03,4.391741454601287842e-01,9.765625000000000203e-07
0.000000000000000000e+00,2.482562904059887110e+00,3.108024597167968750e-03,4.390241503715515137e-01,4.882812500000000102e-07
0.000000000000000000e+00,2.486083623468875903e+00,3.186797257512807846e-03,4.390997290611267090e-01,4.882812500000000102e-07
0.000000000000000000e+00,2.486829368174076293e+00,3.164462046697735786e-03,4.389715790748596191e-01,4.882812500000000102e-07
0.000000000000000000e+00,2.488960998654365486e+00,3.168230410665273666e-03,4.389267563819885254e-01,2.441406250000000051e-07
