1.034999999999999948e-01,7.868252551020409324e-01,2.000000000000000042e-02,1.000000000000000000e+00,1.125754244482867650e+00,3.751910286238699488e+00,3.787331819534301758e+00,1.034999999999999948e-01,7.868252551020409324e-01,1.000000000000000048e-04
2.055000000000000160e-01,8.546906887755103543e-01,2.000000000000000042e-02,1.000000000000000000e+00,1.497031049103526579e+00,3.312178897857665838e+00,3.703355598449706854e+00,1.759999999999999898e-01,8.388724489795917894e-01,1.000000000000000048e-04
2.845000000000000306e-01,9.015242346938775464e-01,2.000000000000000042e-02,1.000000000000000000e+00,1.826477686740728190e+00,2.934745301622332825e+00,3.632374906539916903e+00,2.270000000000000351e-01,8.743201530612244587e-01,1.000000000000000048e-04
3.815000000000000058e-01,9.260153061224489779e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.046888934776171176e+00,2.562434927622477598e+00,3.579378175735473455e+00,2.804999999999999716e-01,8.993341836734695116e-01,1.000000000000000048e-04
4.580000000000000182e-01,9.432984693877550786e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.241137074917920025e+00,2.206973704424771476e+00,3.540818834304809481e+00,3.319999999999999618e-01,9.176224489795916650e-01,1.000000000000000048e-04
5.255000000000000782e-01,9.545822704081631249e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.395245155265004477e+00,1.878917228814327434e+00,3.517710351943969638e+00,3.860000000000000098e-01,9.310318877551019279e-01,1.000000000000000048e-04
5.560000000000000497e-01,9.623596938775509368e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.517923242026957720e+00,1.603476509903416725e+00,3.498881578445434570e+00,4.185000000000000386e-01,9.406581632653061575e-01,8.500000000000000611e-05
5.939999999999999725e-01,9.661849489795917290e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.589893881311264412e+00,1.385670351982116744e+00,3.487681770324706942e+00,4.515000000000000679e-01,9.476288265306122005e-01,7.225000000000000790e-05
6.085000000000000409e-01,9.697321428571429314e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.660187929679938001e+00,1.212198388937747895e+00,3.479580354690551935e+00,4.745000000000000329e-01,9.528329081632651576e-01,6.141250000000000875e-05
6.320000000000000062e-01,9.719158163265305683e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.703962124626464458e+00,1.080117842645356152e+00,3.475214910507202326e+00,4.945000000000000506e-01,9.567806122448979655e-01,5.220062500000000473e-05
6.525000000000000799e-01,9.739477040816326703e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.751451180185411793e+00,9.736929795958779721e-01,3.470232868194579989e+00,5.119999999999998996e-01,9.598635204081633621e-01,4.437053125000000198e-05
6.510000000000000231e-01,9.740344387755101030e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.757316706026547770e+00,8.979231115543481190e-01,3.468791675567627131e+00,5.220000000000000195e-01,9.623839285714286262e-01,3.771495156249999762e-05
6.664999999999999813e-01,9.741033163265306882e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.757500832189612172e+00,8.185676278490010560e-01,3.467060518264770685e+00,5.375000000000000888e-01,9.641696428571429056e-01,3.205770882812499493e-05
6.875000000000000000e-01,9.755025510204081707e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.792284527030491237e+00,7.745851357777913115e-01,3.463829660415649325e+00,5.500000000000000444e-01,9.658609693877551194e-01,2.724905250390624128e-05
6.799999999999999378e-01,9.755688775510205080e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.795616724169735612e+00,7.337150819373853272e-01,3.464031124114990146e+00,5.554999999999999938e-01,9.671454081632653299e-01,2.316169462832030814e-05
6.880000000000000560e-01,9.767232142857142918e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.824052115723127976e+00,6.925177566932909645e-01,3.461560344696045011e+00,5.690000000000001723e-01,9.683010204081632377e-01,1.968744043407226260e-05
6.895000000000000018e-01,9.762895408163266842e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.810011129272838026e+00,6.746992309888204531e-01,3.461668682098388850e+00,5.790000000000000702e-01,9.692614795918366166e-01,1.673432436896142168e-05
6.939999999999999503e-01,9.764158163265307389e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.818179082331973007e+00,6.397784178907220953e-01,3.460848903656005948e+00,5.885000000000000231e-01,9.700739795918366104e-01,1.422417571361720792e-05
7.025000000000000133e-01,9.766326530612243761e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.822567316707019547e+00,6.228893019936301290e-01,3.460541057586669744e+00,5.940000000000000835e-01,9.707359693877550821e-01,1.209054935657462589e-05
7.015000000000000124e-01,9.766045918367346479e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.821586677086986406e+00,5.995975192749140037e-01,3.460659742355346680e+00,6.009999999999999787e-01,9.713073979591836382e-01,1.027696695308843183e-05
7.055000000000000160e-01,9.769872448979590729e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.831401885860001411e+00,5.901540039163647444e-01,3.459572935104370028e+00,6.069999999999999840e-01,9.717742346938773590e-01,8.735421910125167229e-06
6.965000000000001190e-01,9.767525510204080330e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.825854470375450678e+00,5.820881993481605843e-01,3.459851932525634943e+00,6.130000000000001004e-01,9.722436224489795498e-01,7.425108623606392483e-06
7.009999999999999565e-01,9.771084183673469648e-01,2.000000000000000042e-02,1.000000000000000000e+00,2.834598366357060861e+00,5.658111115296682314e-01,3.459447813034057795e+00,6.174999999999999378e-01,9.725663265306122574e-01,6.311342330065432510e-06
